Start interpreting at Fri Nov 29 17:31:43 2024

[Rear_Window_Blackband_Area : WallModelMethodNewFac] takes [1] ms.
[Rear_Window_Dotted_Area : WallModelMethodNewFac] takes [1] ms.
[Rear_Window_Vision : WallModelMethodNewFac] takes [1] ms.
[Right_A-Pillar_Exterior_Trim : WallModelMethodNewFac] takes [1] ms.
[Right_GEAR_Tunnel_Seal : WallModelMethodNewFac] takes [1] ms.
[Right_Headlight : WallModelMethodNewFac] takes [1] ms.
[Right_Rocker_Panel_Seal : WallModelMethodNewFac] takes [1] ms.
[Right_Side_Trims : WallModelMethodNewFac] takes [1] ms.
[Right_Storage_Door_Closed : WallModelMethodNewFac] takes [1] ms.
[Right_Taillight : WallModelMethodNewFac] takes [1] ms.
[Roof_Racks : WallModelMethodNewFac] takes [1] ms.
[Spoiler : WallModelMethodNewFac] takes [1] ms.
[Sunroof : WallModelMethodNewFac] takes [1] ms.
[Tailgate : WallModelMethodNewFac] takes [1] ms.
[Tailgate_Hinges : WallModelMethodNewFac] takes [1] ms.
[Tonneau_Cover : WallModelMethodNewFac] takes [1] ms.
[Tonneau_Cover_Closed : WallModelMethodNewFac] takes [1] ms.
[Truck_Bed_Floor : WallModelMethodNewFac] takes [1] ms.
[Truck_Bed_Front_Panel : WallModelMethodNewFac] takes [1] ms.
[Truck_Bed_Left_Panel : WallModelMethodNewFac] takes [1] ms.
[Truck_Bed_Removable_Floor : WallModelMethodNewFac] takes [1] ms.
[Truck_Bed_Right_Panel : WallModelMethodNewFac] takes [1] ms.
[Truck_Bed_Storage_Divider : WallModelMethodNewFac] takes [1] ms.
[Truck_Bed_Trims : WallModelMethodNewFac] takes [1] ms.
[Underbody : WallModelMethodNewFac] takes [1] ms.
[Underhood : WallModelMethodNewFac] takes [1] ms.
[Underhood_Floor : WallModelMethodNewFac] takes [1] ms.
[Windshield_Blackband : WallModelMethodNewFac] takes [1] ms.
[Windshield_Dotted_Area : WallModelMethodNewFac] takes [1] ms.
[Windshield_System : WallModelMethodNewFac] takes [1] ms.
[Windshield_Vision_Area : WallModelMethodNewFac] takes [1] ms.
[stationaryWallBcFac : Multiple] takes [147] ms.
[porousStationaryWallBcFac : Multiple] takes [0] ms.
[bottom : MovWallModelMethodNewFac] takes [1] ms.
[bottomBcFac : Object] takes [2] ms.
[target : Load] takes [0] ms.
[autoWheelSetting : WheelRotationParameter] takes [3606] ms.
[FL_wheel : RotWallModelMethodNewFac] takes [1] ms.
[true : Multiple] takes [3610] ms.
[RotationSet : Switch] takes [3611] ms.
[target : Load] takes [0] ms.
[autoWheelSetting : WheelRotationParameter] takes [3597] ms.
[RL_wheel : RotWallModelMethodNewFac] takes [1] ms.
[true : Multiple] takes [3600] ms.
[RotationSet_1 : Switch] takes [3601] ms.
[target : Load] takes [0] ms.
[autoWheelSetting : WheelRotationParameter] takes [3600] ms.
[FR_wheel : RotWallModelMethodNewFac] takes [1] ms.
[true : Multiple] takes [3603] ms.
[RotationSet_2 : Switch] takes [3604] ms.
[target : Load] takes [0] ms.
[autoWheelSetting : WheelRotationParameter] takes [3630] ms.
[RR_wheel : RotWallModelMethodNewFac] takes [1] ms.
[true : Multiple] takes [3633] ms.
[RotationSet_3 : Switch] takes [3634] ms.
[true : Multiple] takes [14454] ms.
[wheelBcFac : Switch] takes [14455] ms.
[intersectionSys : Load] takes [0] ms.
[bcFactory : Object] takes [2] ms.
[porousBcFactory : Multiple] takes [0] ms.
[occupyGPUMem : Object] takes [1] ms.
[kernelFactory : SSSKernelMethodFac] takes [0] ms.
[ptSet : Load] takes [0] ms.
[bcFactory : Load] takes [0] ms.
[solverFluid : SolverISSMpi] takes [185069] ms.
[kernelPorous : Multiple] takes [1] ms.
